Date,Open,High,Low,Close,Volume
2012-08-17,41.598,41.598,41.598,41.598,55
2012-08-20,41.762,41.762,41.736,41.736,93
2012-08-21,41.438,41.438,41.217,41.217,199
2012-08-23,41.192,41.192,41.058,41.058,164
2012-08-24,40.732,40.732,40.732,40.732,16
2012-08-28,41,41,41,41,321
2012-08-29,41.262,41.615,41,41.615,106
2012-08-30,41.887,41.887,41.879,41.879,149
2012-08-31,41.881,41.881,41.863,41.863,275
2012-09-03,42.055,42.055,42.001,42.001,127
2012-09-04,41.879,41.879,41.676,41.836,26
2012-09-05,41.836,41.836,41.81,41.81,98
2012-09-06,41.871,41.871,41.731,41.731,28
2012-09-07,41.438,41.438,41.438,41.438,115
2012-09-11,41.112,41.227,40.583,40.583,348
2012-09-12,40.441,40.441,40.441,40.441,3380
2012-09-14,40.556,40.812,40.459,40.663,1614
2012-09-17,40.635,41,40.469,41,146
2012-09-19,41.438,41.482,41.438,41.482,126
2012-09-20,41.598,41.598,41.598,41.598,1362
2012-09-21,41.578,41.578,41.578,41.578,30
2012-09-24,41.694,41.941,41.598,41.941,145
2012-09-25,42.055,42.055,41.941,41.941,110
2012-09-27,41.438,41.438,41.438,41.438,111
2012-09-28,41.438,41.438,41.004,41.004,275
2012-10-02,41.217,41.217,40.874,40.874,355
2012-10-03,41.358,41.358,41.358,41.358,8
2012-10-04,41.2,41.2,41.13,41.13,50
2012-10-11,40.714,40.91,40.714,40.91,11
2012-10-15,40.238,40.238,40.238,40.238,115
2012-10-16,41.879,41.879,41.879,41.879,11
2012-10-22,42.32,42.32,40.064,40.459,2577
2012-10-25,40.53,40.61,40.53,40.61,56
2012-10-29,43.73,43.73,40.513,40.574,225
2012-10-30,40.238,43.739,40.238,43.739,64
2012-10-31,40.568,40.576,40.381,40.381,566
2012-11-02,40.803,40.803,40.803,40.803,21
2012-11-05,44.514,44.514,40.829,40.91,85
2012-11-06,41.067,41.085,41.067,41.085,62
2012-11-08,44.436,44.436,44.436,44.436,8
2012-11-09,40.556,40.714,40.045,40.714,1095
2012-11-12,42.009,42.009,40.644,40.644,89
2012-11-13,40.556,40.556,40.556,40.556,55
2012-11-14,40.293,40.293,40.293,40.293,837
2012-11-15,39.428,39.428,39.409,39.409,70
2012-11-16,39.78,39.78,39.721,39.721,530
2012-11-19,39.975,40.054,39.623,40.054,331
2012-11-20,40.203,40.221,40.089,40.143,203
2012-11-21,40.186,40.186,40.186,40.186,71
2012-11-22,40.115,40.115,40.115,40.115,147
2012-11-23,40.009,40.009,39.808,39.808,124
2012-11-26,40.293,40.293,39.632,39.632,378
2012-11-27,40.019,40.019,40.019,40.019,22
2012-11-28,39.851,39.851,39.817,39.817,82
2012-11-29,40.064,40.161,39.938,40.161,296
2012-11-30,39.938,40.294,39.938,40.152,861
2012-12-03,40.293,40.293,39.938,39.938,164
2012-12-04,39.956,39.956,39.938,39.938,41
2012-12-05,39.956,39.956,39.67,39.875,109
2012-12-06,39.805,39.974,39.805,39.974,20
2012-12-07,40.294,40.559,40.294,40.559,1559
2012-12-10,41.995,41.995,40.559,40.559,109
2012-12-11,40.381,40.381,40.152,40.152,25
2012-12-12,40.222,40.532,40.222,40.453,420
2012-12-13,40.372,40.372,40.372,40.372,20
2012-12-14,40.08,40.114,39.601,39.601,834
2012-12-17,39.619,39.619,39.619,39.619,164
2012-12-18,40.124,40.124,40.001,40.001,314
2012-12-19,38.688,40.035,38.688,40.035,275
2012-12-20,39.468,39.468,39.423,39.423,1690
2012-12-21,40.035,40.035,39.21,39.478,405
2012-12-27,39.176,39.246,39.042,39.087,512
2012-12-28,39.282,39.282,39.238,39.238,149
2013-01-02,40.817,40.817,39.725,40.248,3231
2013-01-03,40.817,41.118,40.7,41.118,339
2013-01-04,41.189,41.649,41.189,41.649,91
2013-01-07,41.705,41.705,41.705,41.705,137
2013-01-08,41.403,41.403,41.403,41.403,55
2013-01-10,41.17,41.17,40.817,40.817,86
2013-01-11,40.603,40.8,40.603,40.773,325
2013-01-14,41.705,41.705,40.93,40.93,22
2013-01-16,40.833,40.833,40.676,40.676,70
2013-01-17,42.59,42.59,40.906,40.906,40
2013-01-18,42.59,42.59,41.004,41.705,480
2013-01-21,41.792,41.989,41.51,41.989,451
2013-01-22,42.59,42.59,41.838,41.838,202
2013-01-23,41.714,41.981,41.714,41.981,170
2013-01-24,42.289,42.289,42.289,42.289,58
2013-01-25,42.326,42.326,41.944,41.944,254
2013-01-28,42.182,42.182,42.095,42.095,38
2013-01-30,42.122,42.122,42.122,42.122,1185
2013-01-31,41.686,41.686,41.686,41.686,20
2013-02-01,41.366,41.598,41.278,41.278,88
2013-02-04,41.278,41.658,41.278,41.43,74
2013-02-05,41.527,41.881,41.527,41.881,39
2013-02-06,42.172,42.172,41.881,41.881,28
2013-02-07,42.279,42.279,42.279,42.279,35
2013-02-11,42.147,42.547,42.147,42.502,57
2013-02-12,42.707,42.707,42.707,42.707,5
2013-02-13,42.53,42.53,42.53,42.53,5
2013-02-14,42.414,42.502,42.414,42.502,451
2013-02-15,43.389,43.389,42.662,43.052,496
2013-02-18,42.707,42.901,42.707,42.901,92
2013-02-19,39.929,42.947,39.929,42.947,140
2013-02-20,43.298,43.298,42.609,42.609,18
2013-02-21,43.062,43.062,43.018,43.018,93
2013-02-22,42.971,42.971,42.971,42.971,88
2013-02-25,43.036,43.036,42.821,42.821,156
2013-02-26,42.521,42.635,42.521,42.635,2656
2013-02-27,42.813,42.947,42.813,42.947,316
2013-02-28,42.353,43.298,42.353,43.298,251
2013-03-01,43.203,43.389,43.203,43.389,62
2013-03-04,43.355,43.355,43.355,43.355,28
2013-03-05,43.754,44.091,43.754,44.091,461
2013-03-06,44.363,44.363,44.152,44.152,130
2013-03-07,44.411,44.411,44.188,44.241,9080
2013-03-08,44.267,44.489,43.851,44.489,466
2013-03-11,44.811,44.811,44.127,44.286,249
2013-03-12,44.286,44.455,44.286,44.455,158
2013-03-13,44.455,44.455,44.363,44.363,17
2013-03-14,47.472,47.472,45.252,45.252,175
2013-03-15,44.898,44.898,44.764,44.764,402
2013-03-18,44.764,44.942,44.543,44.543,98
2013-03-20,44.898,45.43,44.898,45.43,300
2013-03-21,45.52,45.52,45.43,45.43,35
2013-03-22,45.43,45.43,44.942,45.252,43
2013-03-26,45.252,45.696,45.252,45.696,90
2013-03-27,46.141,46.141,45.873,45.873,55
2013-03-28,46.229,46.229,45.785,45.785,39
2013-04-02,46.629,46.629,46.186,46.361,195
2013-04-03,48.802,48.802,46.141,46.229,282
2013-04-04,46.229,46.229,45.831,45.831,131
2013-04-05,45.831,45.831,44.721,44.811,363
2013-04-08,44.764,44.764,44.18,44.18,296
2013-04-10,44.543,44.543,44.543,44.543,18
2013-04-11,44.811,44.811,44.721,44.721,68
2013-04-12,45.387,45.387,45.252,45.252,287
2013-04-15,45.005,45.058,44.854,44.854,29
2013-04-17,45.252,45.252,44.012,44.161,127
2013-04-18,44.801,44.801,43.479,44.363,145
2013-04-19,43.699,43.699,43.699,43.699,58
2013-04-22,44.143,44.143,44.143,44.143,40
2013-04-23,44.801,45.252,44.801,44.969,81
2013-04-24,45.252,45.591,45.252,45.591,26
2013-04-25,45.67,45.67,45.67,45.67,20
2013-04-29,45.252,45.617,45.19,45.553,363
2013-04-30,46.142,46.142,45.338,45.338,4185
2013-05-06,45.928,46.141,45.928,46.141,31
2013-05-07,45.252,46.336,45.252,46.336,134
2013-05-08,46.336,46.336,46.336,46.336,280
2013-05-09,46.407,46.407,46.407,46.407,25
2013-05-10,46.673,47.197,46.673,47.197,14176
2013-05-13,47.17,47.436,47.17,47.436,560
2013-05-14,47.73,48.697,47.73,47.969,2324
2013-05-15,48.802,48.802,48.095,48.448,137
2013-05-16,48.448,48.862,48.448,48.792,8883
2013-05-17,48.757,49.032,48.74,49.032,14120
2013-05-20,49.024,49.024,48.623,48.872,641
2013-05-22,48.961,48.961,48.927,48.936,115
2013-05-23,48.936,48.936,48.013,48.013,278
2013-05-24,48.526,48.526,48.095,48.095,215
2013-05-27,48.598,48.643,48.564,48.564,24
2013-05-28,48.989,49.114,48.848,49.114,231
2013-05-29,48.798,49.048,48.798,49.048,58
2013-05-31,49.048,49.066,49.048,49.066,40
2013-06-03,46.806,48.697,46.806,48.226,808
2013-06-04,48.449,48.449,47.609,47.957,40939
2013-06-05,48.36,48.36,47.86,47.931,75
2013-06-06,47.556,47.556,47.324,47.556,132
2013-06-07,47.561,47.561,47.561,47.561,18
2013-06-10,48.226,48.298,47.739,47.739,987
2013-06-11,49.998,49.998,47.267,47.267,285
2013-06-12,47.223,47.525,47.062,47.062,194
2013-06-13,47.905,47.905,46.078,46.885,169
2013-06-14,47.03,47.079,46.885,46.885,116
2013-06-17,47.03,47.03,47.03,47.03,25
2013-06-18,48.788,48.788,47.207,47.477,201
2013-06-19,47.382,47.382,47.205,47.205,219
2013-06-20,47.798,47.871,47.604,47.604,158
2013-06-21,47.913,47.913,47.913,47.913,10
2013-06-24,47.701,47.701,47.571,47.571,56
2013-06-25,47.913,47.913,47.295,47.295,65
2013-06-26,47.278,48.449,47.278,48.449,28275
2013-06-27,48.029,48.672,48.029,48.672,15632
2013-06-28,48.623,48.777,48.199,48.669,15671
2013-07-01,48.511,48.735,48.511,48.735,238
2013-07-02,48.887,48.887,48.449,48.449,17720
2013-07-03,48.466,48.887,48.466,48.887,615
2013-07-04,51.024,51.024,49.165,49.165,101
2013-07-05,49.201,49.692,49.201,49.641,683
2013-07-08,49.584,50.033,49.584,50.033,129
2013-07-09,52.527,52.527,50.221,50.488,6977
2013-07-10,50.558,50.756,50.558,50.567,91
2013-07-11,51.856,51.856,50.246,50.246,1108
2013-07-12,51.821,51.821,50.415,50.551,229
2013-07-15,50.551,50.551,50.103,50.202,177
2013-07-16,50.264,50.264,49.066,49.066,2084
2013-07-17,49.477,49.477,49.066,49.066,106
2013-07-18,49.505,49.791,49.505,49.791,5664
2013-07-19,49.173,49.71,49.173,49.71,149
2013-07-22,49.505,50.264,49.264,49.334,155
2013-07-23,50.069,50.069,49.112,49.112,150
2013-07-24,49.173,49.201,48.637,48.637,671
2013-07-25,48.907,48.907,48.907,48.907,68
2013-07-26,48.996,48.996,48.637,48.637,58
2013-07-29,49.165,49.165,49.165,49.165,36
2013-07-30,49.173,49.173,48.702,49.137,3518
2013-07-31,49.137,49.38,49.137,49.38,231
2013-08-01,49.495,49.623,49.39,49.623,502
2013-08-02,50.043,50.14,49.613,49.613,205
2013-08-05,49.632,49.632,49.21,49.21,5515
2013-08-06,49.308,49.308,48.834,48.834,252
2013-08-07,48.825,49.014,48.637,48.637,122
